CONTENT TYPE,PROGRAM NAME,CONTENT NAME,SEASON NUMBER,PARTNER ID,IMPRESSIONS,ESTIMATED PARTNER EARNINGS,eCPM
SERIES,Karamo,S01:E01 - Unlocking My Phone; but You Have a Mistress,1,KA-0606,287445,1488.9084364,5.179802871505854
SERIES,Maury,S11:E32 - 2 Moms. 3 Babies. Is One Man the Dad?,11,MS-1132,241560,1252.639087399997,5.18562298145387
SERIES,Karamo,S01:E02 - Plus Size Model Confronts Her Online Troll,1,KA-0604,175494,866.8331798500003,4.939389266014794
SERIES,Maury,S11:E33 - Torn Apart. Where Are They Now?,11,MS-1133,164420,811.2704903499982,4.934135083019087
SERIES,Karamo,S01:E03 - I'll Unlock My Phone to Prove My Innocence,1,KA-0603,152819,738.0468544499992,4.829549038077721
SERIES,Maury,S11:E36 - Did My Daughter Sleep With My Man?,11,MS-1136,146225,708.4241835999989,4.844754204821329
SERIES,The Steve Wilkos Show,"S02:E11 - Mom, Meet Your 8-Year-Old Son",2,SW-1769,135634,697.9204921999996,5.145616085937151
SERIES,Maury,S11:E37 - 10 Moms. 12 Kids. Who’s the Dad? (Pt. 1),11,MS-1137,125306,599.0573270999994,4.780755327757644
SERIES,Karamo,S01:E05 - My Child's Father Won't Accept My Transition,1,KA-0602,123155,589.5538876499988,4.787088527871372
SERIES,Karamo,S01:E04 - Mom and Daughter in Distress,1,KA-0607,122961,587.8118925499997,4.780474236139911
SERIES,The Jerry Springer Show,S12:E31 - I Want Your Lover!,12,JS-1856,107674,538.4682518499995,5.0009124937310725
SERIES,Karamo,S01:E07 - Teens in Trouble,1,KA-0608,107592,512.3000804500002,4.761507179437135
SERIES,Maury,S11:E38 - 10 Moms. 12 Kids. Who’s the Dad? (Pt. 2),11,MS-1138,103964,495.46089364999875,4.765696718575649
SERIES,The Steve Wilkos Show,S02:E41 - I’m 14 and I Want a Baby,2,SW-1792,103048,499.2464680999994,4.844795319656853
SERIES,Maury,S11:E39 - 1 Woman … 5 Kids … 15 Men Tested,11,MS-1139,99119,467.29320774999917,4.71446652760822
SERIES,Karamo,S01:E09 - Internet Rejects Our Open Adoption!,1,KA-0612,85781,405.6192698499996,4.7285444311677365
SERIES,The Steve Wilkos Show,S02:E67 - I Have Two Husbands,2,SW-1702,81957,386.4870966999993,4.715730159717892
SERIES,Maury,S11:E41 - Our 3 Kids May Not Be Yours!,11,MS-1141,80545,378.36194499999925,4.697522440871553
SERIES,Karamo,S01:E10 - Show Me the Proof!,1,KA-0609,77704,367.1895569000004,4.725491054514574
SERIES,The Jerry Springer Show,S08:E34 - Clash of the Angry Lovers,8,JS-0152,76262,385.11187829999864,5.049852853321426
SERIES,Karamo,S01:E11 - Confronting My Bully...My Mom,1,KA-0613,69991,330.3746645999998,4.720244954351271
SERIES,Maury,S11:E45 - Shocking Results… Where Are They Now?,11,MS-1145,69065,323.9039273999992,4.689841850430741
SERIES,The Steve Wilkos Show,S02:E83 - An Explosive DNA Story,2,SW-1721,67759,316.26990994999943,4.667570506500973
SERIES,Maury,S11:E80 - Family and Babysitter Secrets Revealed,11,MS-1180,66581,313.0193544000001,4.701331527012212
SERIES,Karamo,S01:E13 - Families Reunited,1,KA-0605,65538,311.20726490000015,4.748501097073456
SERIES,Karamo,S01:E12 - Unlock the Phone,1,KA-0610,60641,286.6703998999997,4.727336288979399
SERIES,Maury,S11:E55 - Did My Fiance Cheat With My Mom?,11,MS-1151,59624,281.6672148999995,4.724057676439009
SERIES,The Steve Wilkos Show,"S02:E86 - Steve, I Can’t Face the Truth",2,SW-1722,58069,270.94876759999937,4.6659795691332615
SERIES,Karamo,"S01:E14 - I'm 17, Are You My Daddy?",1,KA-0614,57404,274.1842424499999,4.776396112640232
SERIES,Maury,S11:E78 - Family Sex Secrets Uncovered!,11,MS-1178,54952,260.07005874999953,4.732676858895027
SERIES,The Jerry Springer Show,S08:E35 - Shocking Truths Exposed,8,JS-0155,54826,263.16756074999915,4.8000503547586755
SERIES,The Steve Wilkos Show,S02:E100 - A Mother in Denial,2,SW-1732,54044,251.16091974999955,4.647341420879275
SERIES,Karamo,S01:E16 - Unlock the Phone II,1,KA-0618,52673,247.96357080000004,4.707602961669167
SERIES,The Jerry Springer Show,S07:E16 - Wife Discovers Husband's Secret Family,7,JS-0123,52661,259.6387993499995,4.930381104612512
SERIES,The Jerry Springer Show,"S07:E35 - Honey, I'm Really a Guy",7,JS-0125,52460,253.57898105,4.833758693290126
SERIES,Maury,S12:E32 - Is My Sister's Fiancé or My Ex My Baby's Father?,12,MS-1232,52201,247.70350224999996,4.7451869169173
SERIES,Karamo,S01:E15 - Too Many People in This Relationship,1,KA-0616,51786,245.58139225000002,4.742235203529912
SERIES,Maury,S11:E82 - Women at War! Shocking Test Results!,11,MS-1182,47691,222.91003329999933,4.674048212450972
SERIES,The Steve Wilkos Show,S02:E122 - Did You Fake Your Pregnancies?,2,SW-1748,46326,215.11168024999952,4.643433066744366
SERIES,The Jerry Springer Show,S08:E38 - Scandalous Affairs,8,JS-0157,46264,218.0170184999995,4.712455008213719
SERIES,The Steve Wilkos Show,S02:E121 - He Controls Your Entire Life!,2,SW-1746,46260,215.38226754999988,4.655907210332899
SERIES,Maury,S12:E29 - Is My Sister Sleeping With My Man?,12,MS-1229,45795,219.39798544999962,4.790872048258535
SERIES,Karamo,S01:E17 - My Cheating Husband Went Viral,1,KA-0617,44970,212.83846064999997,4.732898835890593
SERIES,Maury,S11:E85 - I'll Prove Your 5 Kids Are Not Mine!,11,MS-1185,44010,207.29972804999974,4.710286935923648
SERIES,The Steve Wilkos Show,S02:E127 - I’m Starving Myself to Death,2,SW-1754,43959,205.46462054999967,4.674005790623073
SERIES,The Jerry Springer Show,S07:E59 - Update: Woman in Labor Confronts Mistress,7,JS-0127,42453,199.26907594999972,4.693875013544384
SERIES,The Steve Wilkos Show,S02:E128 - Crawl to Your Wife,2,SW-1755,42441,194.97008195000006,4.593908766287318
SERIES,Maury,S12:E28 - Did My Husband or Lover Father My Kids?,12,MS-1228,41332,201.54757999999987,4.876308429304168
SERIES,The Steve Wilkos Show,S03:E01 - Tell the Truth Now,3,SW-1766,41226,191.89974764999977,4.654823355406776
SERIES,Karamo,S01:E19 - 5 Year Relationship...We've Never Met,1,KA-0621,40930,193.98256299999983,4.739373637918393
SERIES,Maury,S12:E34 - I Saw You Cheat... My Son Is Not Your Baby's Father!,12,MS-1234,40402,189.83808539999976,4.698729899509919
SERIES,Karamo,S01:E20 - Our Love Went Viral,1,KA-0619,40046,189.74310385000013,4.7381287481895855
SERIES,Maury,S12:E36 - Cheating With His Stepdaughter? Family Sex Secrets Exposed!,12,MS-1760,39344,184.20916355000006,4.682014120323304
SERIES,The Jerry Springer Show,S08:E41 - Attack of the Springer Guests,8,JS-0158,39277,183.99145814999991,4.684458032690886
SERIES,Karamo,S01:E21 - Unlock the Phone: Is She Still Talking to Her One-Night Stand?,1,KA-0622,39246,185.86456234999991,4.735885500433163
SERIES,The Jerry Springer Show,S08:E43 - Cheating Secrets Revealed,8,JS-0115,37088,171.5314228999997,4.62498443971095
SERIES,Karamo,S01:E22 - DNA: Are You My Brother & Sister?,1,KA-0624,34224,160.76856989999996,4.697538858695651
SERIES,Karamo,S01:E18 - Unlock the Phone Has Shocking Surprise,1,KA-0620,34190,161.10185235000017,4.711958243638496
SERIES,Maury,S12:E30 - We Had a Threesome... Is Your Man My Baby's Dad?,12,MS-1230,33905,161.42202694999986,4.7610094956496045
SERIES,Karamo,S01:E26 - My Niece Is 16 and Pregnant ... I Need Help,1,KA-0625,33723,158.10582165000008,4.6883676318832865
SERIES,The Jerry Springer Show,S07:E79 - Cheaters Come Clean,7,JS-0103,33433,156.77758785000006,4.68930660873987
SERIES,Maury,S12:E38 - I Cheated With Your Family and 97 Women,12,MS-1238,33283,155.35803174999995,4.66778931436469
SERIES,Maury,S11:E83 - I'll Prove Her Baby's Not Mine!,11,MS-1183,33120,156.1707694499998,4.715301009963762
SERIES,The Steve Wilkos Show,S03:E45 - Real Teens; Real Topics,3,SW-1793,32962,152.84397910000013,4.6369752775923825
SERIES,The Steve Wilkos Show,S03:E82 - College Life Uncovered (Pt. 1),3,SW-1707,32925,153.7049729999999,4.668336309794986
SERIES,The Steve Wilkos Show,S04:E33 - What if She Is Your Daughter?,4,SW-0433,31826,147.85237025,4.645647277383271
SERIES,Maury,S12:E37 - They're Back: Feuding Family Updates!,12,MS-1237,31631,147.76016309999991,4.671371853561377
SERIES,The Jerry Springer Show,S07:E85 - I Have a Secret for My Man!,7,JS-0130,31149,146.92785755000017,4.716936580628596
SERIES,The Jerry Springer Show,S07:E80 - I'm in a Love Triangle!,7,JS-1706,30791,144.07118775000004,4.679003207105974
SERIES,The Steve Wilkos Show,S04:E79 - 16-Year-Old Surrogate Stole Our Baby,4,SW-0479,30582,141.3163054499999,4.620898092014907
SERIES,Karamo,S01:E23 - Unlock the Phone: Prove You're Not Cheating,1,KA-0623,30557,143.26001914999986,4.688288089472129
SERIES,Karamo,S01:E24 - Karamo & His Son Share Their Story of Addiction,1,KA-0627,30377,143.83076269999998,4.734857382229976
SERIES,Karamo,S01:E28 - If You're Not Cheating...Unlock Your Phone!,1,KA-0629,29665,140.04561070000005,4.720903782234958
SERIES,The Jerry Springer Show,S08:E44 - I Can't Stop Loving You,8,JS-0159,29390,135.91761799999992,4.624621231711464
SERIES,Maury,S12:E35 - I Cheated … Our Kids May Not Be Yours!,12,MS-1235,29067,137.7449913499999,4.738878843705917
SERIES,The Jerry Springer Show,S07:E81 - Holiday Hell Feast,7,JS-0104,28588,134.58246095000013,4.707655692948094
SERIES,The Steve Wilkos Show,S06:E16 - Did You Ever Have My Baby?,6,SW-0616,28255,132.59746445000022,4.692884956644849
